assembly,temperature_K,state_index,contact,spin1_index,spin2_index,energy_per_NC_J,p_equilibrium,p_window_mean
dimer,200.0,182,tip,6,6,1.8361500298343545e-21,4.5625648095621954e-07,4.5626414686396835e-07
dimer,200.0,183,tip,6,7,-2.0814704485859262e-21,7.789843676443023e-06,7.7899634369254e-06
dimer,200.0,184,tip,7,0,5.753770508254634e-21,2.6723254671216514e-08,2.6723709265595586e-08
dimer,200.0,185,tip,7,1,1.8361500298343537e-21,4.5625648095621954e-07,4.5626441473300326e-07
dimer,200.0,186,tip,7,2,1.8361500298343537e-21,4.5625648095621954e-07,4.562644147330051e-07
dimer,200.0,187,tip,7,3,-2.0814704485859262e-21,7.789843676443023e-06,7.789982520335908e-06
dimer,200.0,188,tip,7,4,1.8361500298343537e-21,4.5625648095621954e-07,4.56263007801413e-07
dimer,200.0,189,tip,7,5,-2.0814704485859262e-21,7.789843676443023e-06,7.78996343692507e-06
dimer,200.0,190,tip,7,6,-2.0814704485859262e-21,7.789843676443023e-06,7.789963436925122e-06
dimer,200.0,191,tip,7,7,-5.999090927006206e-21,0.00013299901927144858,0.00013300124895086987
dimer,201.0,0,free,0,0,0.0,0.0015565049784483727,0.0015565292200952407
dimer,201.0,1,free,0,1,0.0,0.0015565049784483727,0.0015565271611123874
dimer,201.0,2,free,0,2,0.0,0.0015565049784483727,0.0015565271611123787
dimer,201.0,3,free,0,3,0.0,0.0015565049784483727,0.0015565255968083597
dimer,201.0,4,free,0,4,0.0,0.0015565049784483727,0.0015565307212791425
dimer,201.0,5,free,0,5,0.0,0.0015565049784483727,0.0015565300717658942
dimer,201.0,6,free,0,6,0.0,0.0015565049784483727,0.0015565300717658892
dimer,201.0,7,free,0,7,0.0,0.0015565049784483727,0.0015565295172612174
dimer,201.0,8,free,1,0,0.0,0.0015565049784483727,0.0015565271611123687
dimer,201.0,9,free,1,1,0.0,0.0015565049784483727,0.0015565292312252216
dimer,201.0,10,free,1,2,0.0,0.0015565049784483727,0.0015565256013461656
dimer,201.0,11,free,1,3,0.0,0.0015565049784483727,0.0015565271613225554
dimer,201.0,12,free,1,4,0.0,0.0015565049784483727,0.0015565300682501562
dimer,201.0,13,free,1,5,0.0,0.0015565049784483727,0.0015565307278630359
dimer,201.0,14,free,1,6,0.0,0.0015565049784483727,0.0015565295169831213
dimer,201.0,15,free,1,7,0.0,0.0015565049784483727,0.0015565300717659083
dimer,201.0,16,free,2,0,0.0,0.0015565049784483727,0.0015565271611124062
dimer,201.0,17,free,2,1,0.0,0.0015565049784483727,0.001556525601346214
dimer,201.0,18,free,2,2,0.0,0.0015565049784483727,0.0015565292312252376
dimer,201.0,19,free,2,3,0.0,0.0015565049784483727,0.0015565271613225858
dimer,201.0,20,free,2,4,0.0,0.0015565049784483727,0.0015565300682501943
dimer,201.0,21,free,2,5,0.0,0.0015565049784483727,0.0015565295169831575
dimer,201.0,22,free,2,6,0.0,0.0015565049784483727,0.0015565307278630626
dimer,201.0,23,free,2,7,0.0,0.0015565049784483727,0.0015565300717659436
dimer,201.0,24,free,3,0,0.0,0.0015565049784483727,0.0015565255968083332
dimer,201.0,25,free,3,1,0.0,0.0015565049784483727,0.0015565271613225788
dimer,201.0,26,free,3,2,0.0,0.0015565049784483727,0.0015565271613225678
dimer,201.0,27,free,3,3,0.0,0.0015565049784483727,0.0015565292294114797
dimer,201.0,28,free,3,4,0.0,0.0015565049784483727,0.0015565295140537985
dimer,201.0,29,free,3,5,0.0,0.0015565049784483727,0.0015565300682501997
dimer,201.0,30,free,3,6,0.0,0.0015565049784483727,0.0015565300682501963
dimer,201.0,31,free,3,7,0.0,0.0015565049784483727,0.0015565307212792139
dimer,201.0,32,free,4,0,0.0,0.0015565049784483727,0.0015565307212792375
dimer,201.0,33,free,4,1,0.0,0.0015565049784483727,0.001556530068250241
dimer,201.0,34,free,4,2,0.0,0.0015565049784483727,0.0015565300682502338
dimer,201.0,35,free,4,3,0.0,0.0015565049784483727,0.0015565295140538334
dimer,201.0,36,free,4,4,0.0,0.0015565049784483727,0.001556529229411578
dimer,201.0,37,free,4,5,0.0,0.0015565049784483727,0.0015565271613227126
dimer,201.0,38,free,4,6,0.0,0.0015565049784483727,0.0015565271613227022
